ACM:Export ACM books	ACM_GLOBAL_ALLEBOOKS	https://dl.acm.org/feeds/acm_kbart_books.txt	acm_kbart_books
ACM:Export ACM periodicals/proceedings	ACM_COUPERIN_DIGITAL-LIBRARY	https://dl.acm.org/pb-assets/feeds/acm_kbart_periodicals_proceedings.txt	acm_kbart_periodicals_proceedings
ACS:ACS All Publications Package	ACS_COUPERIN_ALLJOURNALS	https://solutions.acs.org/wp-content/uploads/2021/09/All-Publications-Collection-updated-monthly.txt	All-Publications-Collection-updated-monthly
ACS:ACS eBooks Complete Collection	ACS_GLOBAL_ALLEBOOKS	https://solutions.acs.org/wp-content/uploads/eBooks-Complete-Collection-updated-monthly.txt	ACS_eBooks_Complete_Collection
APS:Physical Review journal KBART file	APS_GLOBAL_ALLJOURNALS	https://harvest.aps.org/holdings/kbart.tsv	APS_AllTitles_2024_05_17
JSTOR:Arts & Sciences I	JSTOR_COUPERIN_ARTS-AND-SCIENCES-I	https://www.jstor.org/kbart/collections/as	JSTOR_Global_Arts&SciencesICollection_2023-02-17
JSTOR:Arts & Sciences II	JSTOR_COUPERIN_ARTS-AND-SCIENCES-II	https://www.jstor.org/kbart/collections/asii	JSTOR_Global_Arts&SciencesIICollection_2023-02-17
JSTOR:Arts & Sciences III	JSTOR_COUPERIN_ARTS-AND-SCIENCES-III	https://www.jstor.org/kbart/collections/asiii	JSTOR_Global_Arts&SciencesIIICollection_2023-02-17
JSTOR:Arts & Sciences III	JSTOR_COUPERIN_ARTS-AND-SCIENCES-III	https://www.jstor.org/kbart/collections/asiii	JSTOR_Global_Arts&SciencesIIICollection_2023-02-17
JSTOR:Arts & Sciences IV	JSTOR_COUPERIN_ARTS-AND-SCIENCES-IV	https://www.jstor.org/kbart/collections/asiv	JSTOR_Global_Arts&SciencesIVCollection_2023-02-17
JSTOR:Arts & Sciences IX	JSTOR_COUPERIN_ARTS-AND-SCIENCES-IX	https://www.jstor.org/kbart/collections/asix	JSTOR_Global_Arts&SciencesIXCollection_2023-02-17
JSTOR:Arts & Sciences V	JSTOR_COUPERIN_ARTS-AND-SCIENCES-V	https://www.jstor.org/kbart/collections/asv	JSTOR_Global_Arts&SciencesVCollection_2023-02-17
JSTOR:Arts & Sciences VI	JSTOR_COUPERIN_ARTS-AND-SCIENCES-VI	https://www.jstor.org/kbart/collections/asvi	JSTOR_Global_Arts&SciencesVICollection_2023-02-17
JSTOR:Arts & Sciences VII	JSTOR_COUPERIN_ARTS-AND-SCIENCES-VII	https://www.jstor.org/kbart/collections/asvii	JSTOR_Global_Arts&SciencesVIICollection_2023-02-17
JSTOR:Arts & Sciences VIII	JSTOR_COUPERIN_ARTS-AND-SCIENCES-VIII	https://www.jstor.org/kbart/collections/asviii	JSTOR_Global_Arts&SciencesVIIICollection_2023-02-17
JSTOR:Arts & Sciences X	JSTOR_COUPERIN_ARTS-AND-SCIENCES-X	https://www.jstor.org/kbart/collections/asx	JSTOR_Global_Arts&SciencesXCollection_2023-02-17
JSTOR:Arts & Sciences XI	JSTOR_COUPERIN_ARTS-AND-SCIENCES-XI	https://www.jstor.org/kbart/collections/asxi	JSTOR_Global_Arts&SciencesXICollection_2023-02-17
JSTOR:Arts & Sciences XII	JSTOR_COUPERIN_ARTS-AND-SCIENCES-XII	https://www.jstor.org/kbart/collections/asxii	JSTOR_Global_Arts&SciencesXIICollection_2023-02-17
JSTOR:Arts & Sciences XIII	JSTOR_COUPERIN_ARTS-AND-SCIENCES-XIII	https://www.jstor.org/kbart/collections/asxiii	JSTOR_Global_Arts&SciencesXIIICollection_2023-02-17
